AnimalNo,WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
4494,151,158,200,180,75,103,45,34,193,233,21,56,537
2352,149,158,218,173,68,96,47,38,198,239,21,44,538
2538,145,154,214,176,64,97,47,39,193,234,18,50,538
3995,148,155,210,166,59,95,40,36,195,247,19,49,539
7836,143,151,210,179,57,97,40,34,197,242,19,49,540
4091,153,164,222,181,67,93,46,38,192,239,19,44,540
245,148,159,204,176,66,95,44,35,193,218,19,49,540
3897,152,162,215,173,73,102,41,37,201,245,20,45,541
3863,157,166,220,178,72,96,42,38,194,242,19,48,541
4210,149,163,207,195,62,104,48,42,202,232,20,50,542
3782,156,162,203,184,73,94,49,40,194,238,21,46,542
8377,147,155,208,151,56,96,35,33,196,252,18,44,543
3583,150,156,218,172,64,94,43,40,200,252,22,45,544
3757,146,159,217,167,66,103,39,38,198,241,20,44,544
3134,147,161,214,166,68,94,44,38,198,234,22,49,544
8353,145,154,220,169,64,96,47,36,193,235,23,45,544
3276,148,159,216,170,69,94,36,35,193,232,20,46,544
2966,155,160,225,183,69,98,46,33,197,236,20,44,545
4067,147,158,206,173,64,105,46,35,198,234,21,52,545
3057,150,163,207,168,68,100,48,35,198,232,23,48,545
2653,153,162,213,176,68,96,48,35,193,235,21,54,546
4260,156,163,208,172,72,101,49,33,190,227,20,51,546
3458,155,166,220,183,66,93,46,40,195,244,19,46,547
2304,145,156,221,170,58,94,45,37,198,240,21,48,547
2304,142,152,215,174,62,94,48,39,199,238,20,51,547
3113,151,165,218,170,72,98,47,43,199,232,20,45,547
3954,160,166,220,179,70,99,52,37,192,235,21,56,548
3944,156,162,179,166,74,93,50,33,196,234,20,49,548
3226,153,164,216,177,67,96,50,40,195,237,20,55,549
2453,143,152,220,168,62,107,37,38,200,240,19,44,549
3777,154,164,212,172,63,97,50,35,195,235,21,44,550
4249,153,165,185,180,74,91,45,37,194,235,21,43,550
3053,151,165,190,179,66,100,51,36,202,250,22,42,552
3117,150,159,213,174,66,96,41,37,196,244,20,45,552
7866,140,145,204,162,57,90,42,37,193,245,20,42,552
3030,161,163,230,198,64,108,53,42,208,238,20,51,553
3674,157,168,206,185,72,100,46,36,197,236,20,51,553
8342,149,152,192,179,61,97,41,36,195,241,20,43,553
3993,151,165,190,168,71,97,46,34,201,232,20,45,553
8145,147,154,225,185,64,90,45,36,197,223,21,48,555
3991,150,160,184,180,70,99,40,35,197,252,20,46,556
4454,150,164,210,190,70,105,39,36,192,240,19,51,556
2792,147,154,214,173,62,96,46,37,199,235,17,47,556
199,153,163,213,161,73,101,47,35,210,245,23,51,558
8641,153,158,207,178,66,99,44,36,196,237,21,56,558
2119,143,150,209,165,60,96,40,39,193,237,17,43,558
6900,144,150,215,170,59,95,48,33,195,252,19,47,559
3666,153,162,217,175,74,95,44,47,197,240,21,49,559
2296,147,157,216,173,59,98,46,32,207,243,20,45,560
3977,157,168,230,182,71,97,50,34,204,236,20,45,562
198,145,156,209,171,63,94,44,36,191,247,20,44,562
7892,140,147,199,157,60,95,39,34,197,235,19,44,562
220,155,165,210,175,76,104,45,35,213,242,19,50,564
3520,158,162,198,185,64,106,49,37,195,240,21,47,564
3029,152,159,211,180,64,98,52,36,200,238,20,54,564
7858,151,163,195,176,62,99,41,37,199,242,20,41,564
4467,149,161,213,178,71,94,48,41,192,238,20,52,564
6207,151,156,213,168,65,100,44,35,203,256,20,44,565
3796,155,165,210,177,74,96,48,35,202,243,20,43,565
3267,154,163,225,178,70,104,40,39,197,242,19,43,565
3329,155,162,225,183,67,97,52,32,202,232,22,47,565
3942,165,168,189,172,75,95,45,42,197,236,20,44,566
3576,155,168,220,185,72,99,46,40,204,250,21,56,567
3011,150,160,219,175,66,99,42,38,205,242,19,53,567
7359,141,155,225,186,59,98,55,30,195,245,19,43,568
3002,153,161,231,187,68,103,53,41,200,249,22,52,569
4213,154,163,185,175,69,105,50,33,207,240,21,43,569
2545,154,161,217,182,63,96,49,37,200,235,20,42,570
3987,160,165,208,187,76,102,48,36,200,232,20,51,570
3323,154,165,200,168,69,98,54,35,199,253,21,45,571
3762,155,171,210,175,71,95,47,40,201,246,22,50,572
8610,143,154,213,180,62,95,47,30,198,246,21,47,572
2329,144,155,208,172,62,95,37,34,200,244,20,48,573
3770,153,170,215,175,71,100,48,37,204,244,18,47,574
2223,141,152,210,171,56,98,40,37,205,233,20,42,574
3335,154,164,203,178,68,97,45,39,204,246,21,48,575
2740,149,154,190,170,63,97,47,39,205,237,19,48,575
4544,152,168,224,180,74,96,40,36,191,236,20,47,575
8172,139,148,185,170,54,92,45,31,188,243,18,44,575
3015,155,163,195,180,69,99,43,40,198,238,20,46,576
2938,158,167,221,185,71,102,49,39,207,235,22,45,577
4334,156,168,215,190,72,104,46,42,201,236,21,53,579
8614,143,156,221,175,59,106,46,39,199,244,20,52,579
8630,144,153,202,173,56,98,46,32,197,246,20,42,579
3560,150,160,210,174,62,105,52,37,197,249,20,45,580
2882,149,165,237,178,65,102,45,39,197,235,19,45,580
3865,158,168,187,186,74,96,44,39,194,239,20,50,580
2997,157,163,202,184,66,102,48,37,205,238,21,45,581
7559,145,153,213,164,62,99,48,36,202,248,20,47,581
126,146,157,207,173,57,97,44,37,199,239,19,41,582
2824,156,165,199,185,70,100,48,33,210,251,20,43,583
3036,151,168,217,187,69,108,46,41,205,244,21,53,583
2953,155,163,213,184,66,100,49,34,203,250,20,43,583
610,162,165,202,183,73,97,44,37,198,231,19,43,583
2570,146,155,215,183,58,101,42,37,198,227,19,51,583
7641,158,159,219,175,65,101,41,36,203,254,20,45,584
3227,148,160,215,181,67,104,43,36,209,248,20,47,584
2924,156,164,219,179,61,98,54,36,203,242,21,47,584
3283,154,163,213,185,68,100,47,39,205,245,19,59,585
3288,155,163,215,182,68,101,44,41,199,244,20,41,585
2919,159,165,210,180,71,101,55,35,199,242,19,44,585
3531,147,159,210,170,65,94,40,37,192,242,19,43,585
7357,146,152,220,182,59,100,46,38,192,247,20,52,587
8062,149,157,225,185,60,102,52,37,199,248,21,42,588
2221,150,156,215,169,65,102,45,35,194,253,19,45,588
