AnimalNo,WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
3443,158,171,221,179,61,106,53,40,213,249,20,57,698
3052,154,166,220,193,63,100,47,36,210,248,22,55,698
2358,159,161,224,177,62,103,50,36,208,255,21,49,698
3086,161,172,224,179,70,105,56,41,219,262,20,45,701
3007,152,163,240,189,60,105,51,45,216,255,21,47,701
4051,161,172,225,184,69,101,56,46,224,259,21,54,702
3699,155,164,215,186,70,95,50,41,210,260,19,48,702
3703,154,166,231,200,68,104,45,38,210,262,22,55,705
2271,156,166,220,190,60,100,45,40,220,251,19,57,705
165,149,162,227,165,66,100,41,37,219,272,20,46,706
3395,164,172,223,189,69,103,50,42,208,259,21,60,706
2738,154,168,220,185,63,112,53,40,215,267,21,56,707
2631,152,163,230,178,62,103,55,39,216,263,20,46,708
3558,158,162,206,173,57,105,51,39,220,265,19,45,709
2830,150,169,224,195,71,100,48,41,213,265,22,49,709
7815,147,157,224,188,63,109,48,43,219,259,19,61,711
8587,162,173,227,188,64,105,50,40,223,257,22,55,714
2457,151,156,198,185,69,103,48,40,214,265,20,50,714
2832,155,160,200,181,58,105,44,41,218,252,21,45,715
3792,139,174,235,200,79,99,53,45,214,269,21,64,720
2773,158,161,229,182,66,101,40,38,213,254,20,50,721
3089,161,165,220,180,69,109,42,39,220,272,22,54,722
181,157,163,234,182,64,104,49,32,213,250,21,56,724
3937,169,180,233,192,78,108,51,44,215,255,22,56,725
3981,165,178,215,190,74,102,46,42,215,257,20,52,725
2604,150,161,230,183,56,102,50,37,213,265,22,54,726
2951,154,164,213,193,67,102,47,36,208,257,22,53,728
3826,159,167,210,184,64,106,54,47,220,265,20,45,729
2880,156,166,208,185,62,105,50,41,216,265,20,48,729
8633,162,169,201,172,67,104,53,37,217,263,20,47,730
7880,152,163,223,173,65,102,39,36,212,260,20,49,730
3581,157,164,220,168,66,106,44,38,212,266,21,53,731
2519,156,169,236,189,75,105,57,40,217,266,21,53,735
2785,160,171,215,188,72,100,48,38,205,254,21,50,736
2316,158,163,225,179,61,107,50,41,224,280,20,47,737
3570,154,166,237,193,63,109,47,39,212,261,21,62,737
7764,158,166,231,184,63,108,45,39,216,261,21,47,737
235,159,169,212,182,64,105,56,46,217,268,22,49,740
619201,153,160,218,180,61,104,51,45,213,266,22,51,742
3469,162,167,220,188,66,102,57,40,216,265,21,49,746
3544,163,165,240,190,68,108,48,45,231,266,20,47,748
7292,142,155,220,183,60,98,57,36,210,270,23,50,748
3209,160,171,222,177,72,103,48,38,216,270,22,63,751
178,169,173,240,200,67,107,55,40,226,262,21,63,754
8497,149,160,228,175,55,98,48,42,224,273,21,52,755
100000,151,155,219,184,55,107,42,37,218,278,20,52,756
2749,162,173,222,195,68,104,53,38,217,274,21,56,757
2800,156,170,215,195,67,102,57,41,220,267,20,48,757
2815,154,165,230,195,61,100,43,38,213,274,21,55,766
2546,160,163,228,178,67,102,48,41,207,277,21,58,769
2746,150,164,210,182,62,107,53,34,216,280,19,53,771
3599,161,168,209,189,67,109,52,40,230,270,21,50,772
2658,159,163,226,177,64,101,54,45,207,260,21,54,773
2735,159,168,190,167,68,108,50,36,215,266,19,55,778
166,159,170,219,185,66,109,53,42,220,275,22,49,782
3172,150,162,229,204,71,108,58,46,225,275,22,54,788
183,163,172,229,182,72,107,46,36,233,264,21,57,794
3042,158,170,235,187,68,107,47,45,220,262,21,48,795
2978,152,160,213,190,63,108,59,40,225,272,21,52,802
3125,168,175,239,190,68,108,50,43,220,265,22,50,811
147,156,165,246,190,58,104,50,42,229,282,21,58,824
