WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
147,154,211,177,60,96,40,37,197,233,19,44,523
154,162,230,189,72,96,55,45,191,226,19,53,524
152,162,216,169,63,94,43,39,192,224,20,52,525
149,163,207,176,66,96,50,35,198,235,19,42,526
146,156,209,165,64,95,49,32,194,239,20,42,526
142,156,220,170,66,92,48,42,181,217,20,44,526
148,161,210,175,65,93,41,37,195,243,19,52,530
156,157,212,167,69,92,50,35,198,237,20,48,530
153,157,212,174,68,96,48,36,195,243,22,53,533
148,156,222,181,61,95,48,35,195,234,21,45,534
155,163,205,177,65,94,45,38,193,226,20,47,536
151,158,200,180,75,103,45,34,193,233,21,56,537
149,158,218,173,68,96,47,38,198,239,21,44,538
148,155,210,166,59,95,40,36,195,247,19,49,539
153,164,222,181,67,93,46,38,192,239,19,44,540
152,162,215,173,73,102,41,37,201,245,20,45,541
157,166,220,178,72,96,42,38,194,242,19,48,541
149,163,207,195,62,104,48,42,202,232,20,50,542
156,162,203,184,73,94,49,40,194,238,21,46,542
150,156,218,172,64,94,43,40,200,252,22,45,544
146,159,217,167,66,103,39,38,198,241,20,44,544
147,161,214,166,68,94,44,38,198,234,22,49,544
148,159,216,170,69,94,36,35,193,232,20,46,544
155,160,225,183,69,98,46,33,197,236,20,44,545
147,158,206,173,64,105,46,35,198,234,21,52,545
153,162,213,176,68,96,48,35,193,235,21,54,546
156,163,208,172,72,101,49,33,190,227,20,51,546
155,166,220,183,66,93,46,40,195,244,19,46,547
145,156,221,170,58,94,45,37,198,240,21,48,547
142,152,215,174,62,94,48,39,199,238,20,51,547
151,165,218,170,72,98,47,43,199,232,20,45,547
160,166,220,179,70,99,52,37,192,235,21,56,548
153,164,216,177,67,96,50,40,195,237,20,55,549
143,152,220,168,62,107,37,38,200,240,19,44,549
154,164,212,172,63,97,50,35,195,235,21,44,550
153,165,185,180,74,91,45,37,194,235,21,43,550
151,165,190,179,66,100,51,36,202,250,22,42,552
150,159,213,174,66,96,41,37,196,244,20,45,552
161,163,230,198,64,108,53,42,208,238,20,51,553
157,168,206,185,72,100,46,36,197,236,20,51,553
151,165,190,168,71,97,46,34,201,232,20,45,553
150,164,210,190,70,105,39,36,192,240,19,51,556
147,157,216,173,59,98,46,32,207,243,20,45,560
157,168,230,182,71,97,50,34,204,236,20,45,562
158,162,198,185,64,106,49,37,195,240,21,47,564
152,159,211,180,64,98,52,36,200,238,20,54,564
149,161,213,178,71,94,48,41,192,238,20,52,564
